date,t,p
2016.1.1,-7,772
2016.1.2,-9,776
2016.1.3,-11,768
2016.1.4,-11,755
2016.1.5,-11,752
2016.1.6,-9,755
2016.1.7,-12,755
2016.1.8,-9,751
2016.1.9,-5,752
2016.1.10,-1,753
2016.1.11,-2,744
2016.1.12,-4,740
2016.1.13,0,745
2016.1.14,-2,755
2016.1.15,-3,755
2016.1.16,-6,758
2016.1.17,-1,761
2016.1.18,-2,761
2016.1.19,-6,758
2016.1.20,-6,754
2016.1.21,-7,763
2016.1.22,-4,770
2016.1.23,-2,770
2016.1.24,-5,767
2016.1.25,2,761
2016.1.26,4,758
2016.1.27,7,753
2016.1.28,7,752
2016.1.29,6,759
2016.1.30,7,752
2016.1.31,2,745
2016.2.1,4,753
2016.2.2,7,747
2016.2.3,6,747
2016.2.4,3,752
2016.2.5,4,760
2016.2.6,3,761
2016.2.7,8,755
2016.2.8,8,750
2016.2.9,8,745
2016.2.10,8,740
2016.2.11,4,743
2016.2.12,4,749
2016.2.13,4,748
2016.2.14,3,744
2016.2.15,4,754
2016.2.16,3,771
2016.2.17,2,775
2016.2.18,4,763
2016.2.19,1,759
2016.2.20,1,758
2016.2.21,4,746
2016.2.22,5,742
2016.2.23,5,749
2016.2.24,4,752
2016.2.25,3,753
2016.2.26,3,755
2016.2.27,4,761
2016.2.28,2,761
2016.2.29,3,768
2016.3.1,2,759
2016.3.2,4,751
2016.3.3,6,752
2016.3.4,2,753
2016.3.5,3,753
2016.3.6,7,747
2016.3.7,9,753
2016.3.8,6,755
2016.3.9,7,762
2016.3.10,4,765
2016.3.11,3,767
2016.3.12,4,770
2016.3.13,8,774
2016.3.14,3,768
2016.3.15,3,770
2016.3.16,4,773
2016.3.17,6,763
2016.3.18,7,754
2016.3.19,2,758
2016.3.20,4,753
2016.3.21,9,752
2016.3.22,2,752
2016.3.23,5,755
2016.3.24,6,757
2016.3.25,9,756
2016.3.26,7,759
2016.3.27,12,761
2016.3.28,14,756
2016.3.29,11,750
2016.3.30,7,755
2016.3.31,7,756
2016.4.1,5,757
2016.4.2,11,767
2016.4.3,14,761
2016.4.4,18,757
2016.4.5,19,754
2016.4.6,12,753
2016.4.7,18,754
2016.4.8,12,756
2016.4.9,12,755
2016.4.10,15,758
2016.4.11,14,761
2016.4.12,15,757
2016.4.13,10,752
2016.4.14,12,752
2016.4.15,13,755
2016.4.16,16,752
2016.4.17,10,752
2016.4.18,9,759
2016.4.19,10,757
2016.4.20,10,761
2016.4.21,14,761
2016.4.22,6,753
2016.4.23,12,753
2016.4.24,4,752
2016.4.25,10,752
2016.4.26,10,751
2016.4.27,9,754
2016.4.28,10,757
2016.4.29,11,766
2016.4.30,16,765
2016.5.1,12,765
2016.5.2,18,765
2016.5.3,19,760
2016.5.4,21,763
2016.5.5,21,766
2016.5.6,21,764
2016.5.7,23,764
2016.5.8,25,765
2016.5.9,26,765
2016.5.10,25,762
2016.5.11,24,758
2016.5.12,23,753
2016.5.13,22,747
2016.5.14,16,746
2016.5.15,13,752
2016.5.16,11,753
2016.5.17,9,755
2016.5.18,16,757
2016.5.19,17,758
2016.5.20,20,758
2016.5.21,18,760
2016.5.22,22,761
2016.5.23,25,758
2016.5.24,24,756
2016.5.25,23,755
2016.5.26,16,759
2016.5.27,23,761
2016.5.28,19,761
2016.5.29,27,758
2016.5.30,27,757
2016.5.31,27,758
2016.6.1,23,759
2016.6.2,27,759
2016.6.3,27,758
2016.6.4,23,757
2016.6.5,18,760
2016.6.6,16,765
2016.6.7,18,766
2016.6.8,22,758
2016.6.9,17,758
2016.6.10,13,750
2016.6.11,11,755
2016.6.12,16,758
2016.6.13,18,754
2016.6.14,22,750
2016.6.15,16,748
2016.6.16,21,751
2016.6.17,28,744
2016.6.18,17,757
2016.6.19,24,763
2016.6.20,20,762
2016.6.21,20,762
2016.6.22,23,767
2016.6.23,28,767
2016.6.24,30,763
2016.6.25,32,759
2016.6.26,32,756
2016.6.27,22,759
2016.6.28,22,759
2016.6.29,24,758
2016.6.30,26,758
2016.7.1,27,759
2016.7.2,30,757
2016.7.3,17,759
2016.7.4,15,761
2016.7.5,19,758
2016.7.6,17,750
2016.7.7,19,756
2016.7.8,19,758
2016.7.9,19,755
2016.7.10,17,758
2016.7.11,26,752
2016.7.12,23,756
2016.7.13,19,756
2016.7.14,17,754
2016.7.15,17,755
2016.7.16,20,764
2016.7.17,23,759
2016.7.18,21,758
2016.7.19,22,760
2016.7.20,22,761
2016.7.21,21,758
2016.7.22,20,759
2016.7.23,22,762
2016.7.24,24,763
2016.7.25,28,761
2016.7.26,29,760
2016.7.27,27,761
2016.7.28,25,757
2016.7.29,25,756
2016.7.30,26,755
2016.7.31,25,756
2016.8.1,18,756
2016.8.2,23,759
2016.8.3,21,758
2016.8.4,25,756
2016.8.5,27,755
2016.8.6,19,761
2016.8.7,19,763
2016.8.8,25,759
2016.8.9,20,759
2016.8.10,18,759
2016.8.11,17,761
2016.8.12,20,763
2016.8.13,20,761
2016.8.14,19,760
2016.8.15,20,761
2016.8.16,19,757
2016.8.17,15,755
2016.8.18,15,755
2016.8.19,23,758
2016.8.20,27,760
2016.8.21,25,759
2016.8.22,18,764
2016.8.23,19,765
2016.8.24,21,767
2016.8.25,24,767
2016.8.26,26,764
2016.8.27,29,762
2016.8.28,27,761
2016.8.29,24,755
2016.8.30,17,762
2016.8.31,17,765
2016.9.1,24,761
2016.9.2,20,761
2016.9.3,20,758
2016.9.4,15,755
2016.9.5,19,758
2016.9.6,20,767
2016.9.7,23,765
2016.9.8,22,760
2016.9.9,25,760
2016.9.10,26,761
2016.9.11,26,761
2016.9.12,25,764
2016.9.13,22,764
2016.9.14,20,763
2016.9.15,21,763
2016.9.16,20,760
2016.9.17,18,761
2016.9.18,15,763
2016.9.19,15,761
2016.9.20,13,759
2016.9.21,16,762
2016.9.22,17,761
2016.9.23,16,761
2016.9.24,18,763
2016.9.25,16,767
2016.9.26,15,768
2016.9.27,15,769
2016.9.28,13,759
2016.9.29,17,756
2016.9.30,18,755
2016.10.1,18,759
2016.10.2,17,757
2016.10.3,15,764
2016.10.4,12,770
2016.10.5,9,764
2016.10.6,8,761
2016.10.7,6,760
2016.10.8,8,761
2016.10.9,10,764
2016.10.10,7,764
2016.10.11,7,767
2016.10.12,8,769
2016.10.13,9,768
2016.10.14,1,770
2016.10.15,2,769
2016.10.16,7,773
2016.10.17,10,773
2016.10.18,8,767
2016.10.19,9,763
2016.10.20,8,764
2016.10.21,4,764
2016.10.22,3,761
2016.10.23,9,765
2016.10.24,5,765
2016.10.25,7,760
2016.10.26,8,767
2016.10.27,9,770
2016.10.28,9,760
2016.10.29,10,758
2016.10.30,7,760
2016.10.31,6,763
2016.11.1,3,759
2016.11.2,7,745
2016.11.3,4,754
2016.11.4,4,761
2016.11.5,6,756
2016.11.6,5,746
2016.11.7,2,748
2016.11.8,4,755
2016.11.9,2,756
2016.11.10,0,755
2016.11.11,-1,762
2016.11.12,1,767
2016.11.13,3,768
2016.11.14,4,770
2016.11.15,2,764
2016.11.16,4,756
2016.11.17,7,752
2016.11.18,8,751
2016.11.19,9,758
2016.11.20,8,761
2016.11.21,10,761
2016.11.22,6,764
2016.11.23,5,764
2016.11.24,7,764
2016.11.25,6,764
2016.11.26,4,752
2016.11.27,2,748
2016.11.28,-1,761
2016.11.29,1,766
2016.11.30,3,755
2016.12.1,4,751
2016.12.2,1,751
2016.12.3,0,761
2016.12.4,-2,768
2016.12.5,3,760
2016.12.6,2,765
2016.12.7,1,771
2016.12.8,8,755
2016.12.9,7,755
2016.12.10,8,752
2016.12.11,7,749
2016.12.12,-4,764
2016.12.13,-1,764
2016.12.14,2,759
2016.12.15,2,772
2016.12.16,0,773
2016.12.17,1,772
2016.12.18,1,769
2016.12.19,2,768
2016.12.20,5,771
2016.12.21,2,768
2016.12.22,2,768
2016.12.23,2,767
2016.12.24,2,758
2016.12.25,5,755
2016.12.26,10,752
2016.12.27,4,751
2016.12.28,3,768
2016.12.29,2,776
2016.12.30,3,770
2016.12.31,1,764
2017.1.1,3,755
2017.1.2,2,750
2017.1.3,0,752
2017.1.4,1,734
2017.1.5,-9,762
2017.1.6,-14,776
2017.1.7,-9,769
2017.1.8,-7,770
2017.1.9,-4,767
2017.1.10,-6,764
2017.1.11,-5,757
2017.1.12,2,743
2017.1.13,1,741
2017.1.14,-1,746
2017.1.15,-1,755
2017.1.16,0,764
2017.1.17,-1,774
2017.1.18,-1,776
2017.1.19,-2,771
2017.1.20,3,767
2017.1.21,3,770
2017.1.22,0,771
2017.1.23,-1,764
2017.1.24,2,764
2017.1.25,1,770
2017.1.26,1,770
2017.1.27,1,767
2017.1.28,0,768
2017.1.29,-1,766
2017.1.30,0,764
2017.1.31,-3,765
2017.2.1,-2,767
2017.2.2,0,761
2017.2.3,-1,758
2017.2.4,1,757
2017.2.5,-1,757
